
Reading entry from 0x18e22d0 ... 
80 entries stored in matrix at 0x18e2510.

matrix at 0x18e2510 ...
  178 (47,263)  -347 (90,104)     3 (106,350)    84 (18,68)   353 (97,379) 
 -328 (27,225)   363 (21,51)   -90 (71,344)  -270 (70,235)   332 (38,377) 
  202 (88,262)   399 (66,98)   354 (60,91)  -177 (23,405)   317 (123,195) 
 -285 (43,238)  -167 (12,42)  -265 (119,114)  -375 (76,178)   304 (15,21) 
   97 (5,337)    64 (66,313)   -13 (33,56)   260 (78,49)   355 (11,139) 
  375 (112,347)    78 (24,394)   413 (31,229)   147 (14,81)   245 (10,282) 
  172 (17,202)   382 (82,60)   208 (34,392)   247 (45,394)   180 (68,300) 
   33 (116,88)  -151 (4,132)  -221 (8,420)   159 (112,276)   362 (117,196) 
   45 (18,377)   134 (50,423)   145 (111,197)   -64 (54,81)   340 (24,278) 
   78 (104,288)    55 (18,144)   330 (117,332)    39 (64,290)  -229 (28,340) 
  404 (81,5)   267 (30,123)  -169 (101,131)  -138 (64,142)    91 (78,184) 
   53 (96,228)   306 (23,199)   250 (42,419)  -398 (22,441)   369 (97,101) 
 -420 (60,61)    41 (92,57)   106 (99,395)   239 (29,427)  -185 (118,273) 
   69 (34,138)  -225 (37,171)  -241 (94,321)   160 (81,204)   214 (45,120) 
  194 (52,419)   320 (95,148)  -340 (12,221)   111 (122,421)   -45 (96,339) 
 -277 (62,237)  -166 (91,308)   288 (47,19)  -400 (101,269)   163 (3,387) 


Finding path from (81, 5) to (3, 387) ...
